LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-91.1702923,41.0050835,419,WAPELLO STREET S,,MEDIAPOLIS,,,,151,b2ac478e369f61eb
-91.1574347,41.0081025,1115,MAIN STREET,,MEDIAPOLIS,,,,152,25e56b6f473613f1
-91.1610462,41.0097066,811,NORTH STREET,,MEDIAPOLIS,,,,153,d3770952661b424f
-91.161514,41.0103558,402,N PARK AVENUE,,MEDIAPOLIS,,,,154,16addf843eb3d502
-91.1615024,41.0106628,410,N PARK AVENUE,,MEDIAPOLIS,,,,155,2b036d03a07daf32
-91.1607,41.0107246,411,N NORTHFIELD STREET,,MEDIAPOLIS,,,,156,ee234616343a668b
-91.1602451,41.0083442,110,N NORTHFIELD STREET,,MEDIAPOLIS,,,,157,fd39b9de714c0654
-91.1601709,41.0092782,214,N NORTHFIELD STREET,,MEDIAPOLIS,,,,158,37cab1ec7f3f4004
-91.159599,41.0088532,915,MIDDLE STREET,,MEDIAPOLIS,,,,159,01ef7d7698b11367
-91.1685157,41.0035312,58,VILLAGE COURT,,MEDIAPOLIS,,,,160,9841892e0f585b74
-91.157136,41.009149,1116,NORTH STREET,,MEDIAPOLIS,,,,161,9e5a4cf4ce772c82
-91.1695723,41.0107595,408,WAPELLO STREET N,,MEDIAPOLIS,,,,162,24fbb15244c9d2b3
-91.1630678,41.007226,117,S HARRISON STREET,,MEDIAPOLIS,,,,163,d197a6f68f8bee25
-91.1655881,41.0021121,425,MACK LANE,,MEDIAPOLIS,,,,164,4e2fee60aef36842
-91.1614679,41.0052051,312,S CEDAR STREET,,MEDIAPOLIS,,,,165,22a382b4252becb9
-91.1543257,41.0062885,104,CENTENNIAL DRIVE,,MEDIAPOLIS,,,,166,19e64dd701fa4351
-91.1611205,41.0126774,804,IOWA STREET,,MEDIAPOLIS,,,,167,abd9a7704c86553c
-91.1652389,41.0076824,106,S CURVE STREET,,MEDIAPOLIS,,,,168,cb404689aec37a7c
-91.1669026,41.0065771,313,MEADOW STREET,,MEDIAPOLIS,,,,169,b587855554dec2ad
-91.1641139,41.0073047,510,MEADOW STREET,,MEDIAPOLIS,,,,170,807aebf1f4921154
-91.1652072,41.0067716,202,S CURVE STREET,,MEDIAPOLIS,,,,171,58c343ee960f0a35
-91.1635651,41.0101517,610,COLUMBIA STREET,,MEDIAPOLIS,,,,172,97e905d3c4da5a5b
-91.1630582,41.0096852,621,NORTH STREET,,MEDIAPOLIS,,,,173,671f60ad8eee3e4c
-91.1630413,41.011888,618,HIGH STREET,,MEDIAPOLIS,,,,174,ed46f7ac8bb85ca0
-91.1630665,41.0113603,503,N HARRISON STREET,,MEDIAPOLIS,,,,175,e0695f7bcb8e4373
-91.1634162,41.0114272,616,VALLEY STREET,,MEDIAPOLIS,,,,176,1e43dd519ebdb72b
-91.165079,41.012339,501,IOWA STREET,,MEDIAPOLIS,,,,177,232859a28d99a859
-91.1694913,41.00766,108,MAIN STREET,,MEDIAPOLIS,,,,178,fdd9d73c740979a7
-91.1692178,41.0077213,112,MAIN STREET,,MEDIAPOLIS,,,,179,251689f9bef1a11e
-91.1795471,41.0079176,12973,MEDIAPOLIS ROAD,,MEDIAPOLIS,,,,180,26f26815dd99d283
-91.1900214,41.0082558,13492,MEDIAPOLIS ROAD,,MEDIAPOLIS,,,,181,aa5c90e2a34603df
-91.2252514,41.005887,15348,MEDIAPOLIS ROAD,,MEDIAPOLIS,,,,182,7a1147170f3c18bb
-91.2354176,41.0013632,15924,MEDIAPOLIS ROAD,,MEDIAPOLIS,,,,183,70ed114634f4327e
-91.2076999,41.0083381,14418,MEDIAPOLIS ROAD,,MEDIAPOLIS,,,,184,d34fb718d2af3331
-91.167407,41.0132478,710,N CURVE STREET,,MEDIAPOLIS,,,,185,1efc1a55fee8c6b4
-91.1636248,41.0081741,621,MAIN STREET,,MEDIAPOLIS,,,,186,81321eb1ffaadded
-91.1695324,41.0054632,406,WAPELLO STREET S,,MEDIAPOLIS,,,,187,75e7d7f03935b03d
-91.164352,41.0098996,309,N ORCHARD STREET,,MEDIAPOLIS,,,,188,6b5316d5d0f29b17
-91.168979,41.0060216,309,GREEN ACRES DRIVE,,MEDIAPOLIS,,,,189,882a083d7314ea89
-91.157912,41.0068622,1027,PINE STREET,,MEDIAPOLIS,,,,190,002eaa7196cceeb6
-91.1958897,41.0079633,13841,MEDIAPOLIS ROAD,,MEDIAPOLIS,,,,191,c12f6aa029177f1a
-91.1597332,41.0081249,913,MAIN STREET,,MEDIAPOLIS,,,,192,e595dd368d7483ba
-91.1536184,40.8102679,3630,FLINT RIDGE DRIVE,,BURLINGTON,,,,193,730d44ae06771f8f
-91.1423428,40.8025709,701,S ROOSEVELT AVENUE,,BURLINGTON,,,,194,195c94bc10228a98
